"","year","fips","noncit_pop","moe"
"834",2012,"08005",54417,2051
"835",2013,"08005",53450,1907
"836",2014,"08005",52557,1995
"837",2015,"08005",52281,2174
"838",2016,"08005",51916,2118
"839",2017,"08005",53215,2121
"840",2018,"08005",54007,2080
"841",2009,"48009",289,52
"842",2010,"48009",240,71
"843",2011,"48009",268,87
"844",2012,"48009",307,70
"845",2013,"48009",273,62
"846",2014,"48009",237,63
"847",2015,"48009",211,63
"848",2016,"48009",208,64
"849",2017,"48009",129,68
"850",2018,"48009",169,69
"851",2009,"08007",55,54
"852",2010,"08007",45,37
"853",2011,"08007",57,48
"854",2012,"08007",185,136
"855",2013,"08007",214,113
"856",2014,"08007",317,132
"857",2015,"08007",339,148
"858",2016,"08007",422,138
"859",2017,"08007",433,168
"860",2018,"08007",371,141
"861",2009,"72013",NA,NA
"862",2010,"72013",NA,NA
"863",2011,"72013",NA,NA
"864",2012,"72013",NA,NA
"865",2013,"72013",NA,NA
"866",2014,"72013",NA,NA
"867",2015,"72013",NA,NA
"868",2016,"72013",NA,NA
"869",2017,"72013",NA,NA
"870",2018,"72013",NA,NA
"871",2009,"26011",65,31
"872",2010,"26011",81,34
"873",2011,"26011",99,39
"874",2012,"26011",87,32
"875",2013,"26011",61,40
"876",2014,"26011",40,16
"877",2015,"26011",31,13
"878",2016,"26011",43,19
"879",2017,"26011",56,23
"880",2018,"26011",59,27
"881",2009,"05001",184,90
"882",2010,"05001",274,127
"883",2011,"05001",418,150
"884",2012,"05001",382,147
"885",2013,"05001",350,119
"886",2014,"05001",286,120
"887",2015,"05001",337,142
"888",2016,"05001",173,77
"889",2017,"05001",188,107
"890",2018,"05001",95,106
"891",2009,"51013",30560,1394
"892",2010,"51013",27876,1416
"893",2011,"51013",27965,1679
"894",2012,"51013",28173,1236
"895",2013,"51013",28626,1478
"896",2014,"51013",29272,1568
"897",2015,"51013",29180,1716
"898",2016,"51013",29431,1794
"899",2017,"51013",29029,1479
"900",2018,"51013",29364,1698
"901",2009,"42005",307,184
"902",2010,"42005",273,158
"903",2011,"42005",225,133
"904",2012,"42005",210,144
"905",2013,"42005",138,47
"906",2014,"42005",133,41
"907",2015,"42005",131,44
"908",2016,"42005",159,46
"909",2017,"42005",158,44
"910",2018,"42005",93,44
"911",2009,"48011",15,23
"912",2010,"48011",81,58
"913",2011,"48011",58,51
"914",2012,"48011",71,60
"915",2013,"48011",48,53
"916",2014,"48011",52,55
"917",2015,"48011",9,7
"918",2016,"48011",20,15
"919",2017,"48011",11,12
"920",2018,"48011",7,13
"921",2009,"23003",1473,226
"922",2010,"23003",1258,188
"923",2011,"23003",1262,182
"924",2012,"23003",1265,234
"925",2013,"23003",1156,190
"926",2014,"23003",1174,210
"927",2015,"23003",1152,214
"928",2016,"23003",1120,196
"929",2017,"23003",1153,238
"930",2018,"23003",1108,224
"931",2009,"72015",NA,NA
"932",2010,"72015",NA,NA
"933",2011,"72015",NA,NA
"934",2012,"72015",NA,NA
"935",2013,"72015",NA,NA
"936",2014,"72015",NA,NA
"937",2015,"72015",NA,NA
"938",2016,"72015",NA,NA
"939",2017,"72015",NA,NA
"940",2018,"72015",NA,NA
"941",2009,"31005",4,8
"942",2010,"31005",1,4
"943",2011,"31005",2,3
"944",2012,"31005",0,10
"945",2013,"31005",0,9
"946",2014,"31005",1,2
"947",2015,"31005",1,2
"948",2016,"31005",1,3
"949",2017,"31005",2,3
"950",2018,"31005",2,2
"951",2009,"22005",1579,303
"952",2010,"22005",1867,412
